"Column0","INTPTLAT","INTPTLON","Children","Elderly","Poverty","Elevation","SeaLevelRise","Precipitation","Diabetes","MentalHealth","Asthma","Disability","HousingQuality","Homeless","LivAlone","prediction","FloodHealthIndex","Cluster"
167,37.80699179999999,-122.4424831,0.0664619515628,0.055000030529699984,0.232255922317,202.946,0,0.0034316299999999893,6.399999999999998,14.389999999999993,3.6513,0.08099990826480001,8.010679999999988,3.798799999999999,0.340000108106,48.99459818940693,42.533,"cluster_4"
168,37.758491799999994,-122.4737517,0.189861033012,0.10000001751399996,0.275787041622,192.43,0,0,13.899999999999993,37.03,6.7351,0.0610000116084,4.641709999999991,3.219499999999999,0.256000052747,46.88716220198695,33.566500000000005,"cluster_2"
169,37.7865796,-122.4793056,0.09734709778419999,0.149000075592,0.1317190805,185.235,0,0.0022357799999999997,3.6,9.909999999999995,1.9474,0.0810000498078,6.278839999999994,2.1589,0.36700031603899996,45.19238973627086,36.2197,"cluster_4"
170,37.742527499999994,-122.45475610000001,0.09530595304999999,0.10200101999999998,0.23774337741000004,233.84499999999997,0,0.002473689999999995,6.398099999999997,14.3852,3.650199999999999,0.09800097999999997,2.144599999999992,4.2073,0.3600035999999999,45.500145686768064,39.5664,"cluster_4"
171,37.76279589999999,-122.47378800000001,0.0701440074984,0.12000000962599998,0.447463037608,31.27169999999998,0,0,15.499999999999995,63.7499,12.967200000000002,0.20900001549700004,6.809029999999995,19.2683,0.6910000415769999,60.07901992507223,66.813,"cluster_1"
172,37.77938019999999,-122.50026690000001,0.133059122011,0.139000099879,0.24651717215399999,23.090599999999966,0,0.004288639999999996,6.399999999999998,10.72,2.497999999999999,0.11800006448899998,2.5533899999999936,1.876099999999999,0.261000193467,43.91872097354899,53.266099999999994,"cluster_3"
173,37.726397399999996,-122.4703449,0.16164400000000004,0.171,0.20901899999999998,57.48449999999994,0,0.0021730899999999995,4.299999999999992,8.279999999999998,2.8093,0.07899999999999999,0.34613999999999573,1.876099999999999,0.24799999999999997,41.67180228624626,39.612899999999996,"cluster_4"
174,37.779685799999996,-122.4505013,0.16981466037000004,0.13099973799999998,0.371618256762,208.661,0,0.0012256299999999906,8.231799999999998,14.306799999999994,4.515399999999999,0.09499981000000002,3.8114999999999837,0.5206999999999999,0.15399969199999997,46.81298013274877,45.95309999999999,"cluster_0"
175,37.736924599999995,-122.4107907,0.19571206208999997,0.15400005883999998,0.16022907043599996,382.86199999999997,0,0.009977209999999988,6.378199999999999,10.7049,2.4967000000000006,0.06700002779579999,1.8939399999999864,0.2605999999999985,0.17900008627500003,44.321523625965895,29.966299999999993,"cluster_2"
176,37.804689999999994,-122.41394370000002,0.17971400000000004,0.09499999999999999,0.43142700000000006,246.16999999999996,0,0.005419359999999995,8.2112,14.289500000000002,4.494700000000001,0.08499999999999999,5.40158,0.5206999999999999,0.16100000000000003,50.27309448690572,51.272999999999996,"cluster_0"
177,37.764174399999995,-122.4206994,0.13305899999999998,0.139,0.24651699999999996,10.680099999999953,0,0.021153799999999997,6.437899999999993,10.793099999999995,2.5323999999999987,0.11799999999999998,2.408919999999984,1.8471999999999995,0.261,46.49680908929227,58.605999999999995,"cluster_3"
178,37.80043129999999,-122.4449968,0.12134099999999998,0.11399999999999999,0.11575299999999994,2.2536599999999396,0,0.006784849999999999,0,5.1599999999999975,0,0.10099999999999998,2.8058299999999976,0.3447999999999998,0.5,46.963820521764006,42.5727,"cluster_4"
179,37.76589779999999,-122.4458192,0.11613137008,0.14067584656599996,0.45000753571100005,-42,0.351565,0.0008886179999999963,23.018,38.2773,15.989099999999999,0.092166952245,1.3917899999999928,17.3221,0.266799028973,56.98911159905686,73.9059,"cluster_1"
180,37.7510714,-122.4678354,0.071817,0.14499999999999996,0.11589300000000001,185.61399999999998,0,0.0024810099999999996,6.134699999999992,9.640599999999992,3.3458,0.06800000000000002,8.138719999999998,2.1589,0.505,44.8878033466213,38.859700000000004,"cluster_4"
181,37.71397259999999,-122.4406713,0.127785616642,0.04999984999999995,0.158630524107,258.69399999999996,0,0.006174529999999997,6.399999999999998,14.389899999999999,3.6513,0.04199987399999999,10.455899999999987,3.798799999999999,0.356999769613,43.240790490568756,38.19299999999999,"cluster_4"
182,37.7327867,-122.48277660000001,0.16164400000000004,0.171,0.20901899999999998,70.56409999999995,0,0.002028429999999993,4.299999999999992,8.279999999999998,2.8093,0.07899999999999999,2.6086999999999896,1.876099999999999,0.24799999999999997,41.56668404833886,40.932900000000004,"cluster_4"
183,37.7114964,-122.4591915,0.105482726804,0.135999649364,0.182772435113,130.76399999999998,0,0.008179739999999986,12.099999999999994,23.100000000000005,5.445299999999999,0.061999827664299983,10.76289999999999,0.3447999999999998,0.38899909555299994,43.05745309390126,50.5462,"cluster_0"
